epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,4695.33,1.36523,0.46675,0.00223,0.97906,0.97081,0.99273,0.7341,0.97322,0.31722,0.00088,0.0007328,0.0007328,0.0007328
130,4732.65,1.36588,0.49981,0.00251,0.97986,0.96817,0.99248,0.7388,0.97729,0.32179,0.00088,0.0007229,0.0007229,0.0007229
131,4768.84,1.36452,0.46283,0.00224,0.97799,0.96752,0.99221,0.76557,0.89174,0.31368,0.0008,0.000713,0.000713,0.000713
132,4804.98,1.36432,0.45926,0.00218,0.98194,0.96801,0.99273,0.75632,0.90728,0.32439,0.00082,0.0007031,0.0007031,0.0007031
133,4841.11,1.34771,0.47659,0.00238,0.97924,0.97342,0.99267,0.72856,0.98843,0.31426,0.00089,0.0006932,0.0006932,0.0006932
134,4877.38,1.3405,0.46669,0.00228,0.97854,0.96337,0.99219,0.75419,0.91773,0.31698,0.00083,0.0006833,0.0006833,0.0006833
135,4914.57,1.37051,0.48571,0.0024,0.98127,0.97069,0.99293,0.75937,0.92497,0.3118,0.00083,0.0006734,0.0006734,0.0006734
136,4951.43,1.36607,0.47529,0.00232,0.98083,0.97423,0.99304,0.75409,0.92832,0.29795,0.00085,0.0006635,0.0006635,0.0006635
137,4987.72,1.35976,0.4773,0.00233,0.96426,0.97326,0.99135,0.76152,0.89428,0.32671,0.0008,0.0006536,0.0006536,0.0006536
138,5024.08,1.37684,0.47066,0.0023,0.97793,0.97008,0.99262,0.76239,0.90495,0.31823,0.00081,0.0006437,0.0006437,0.0006437
139,5060.6,1.35464,0.4632,0.00223,0.98162,0.97163,0.99301,0.74887,0.93835,0.30663,0.00084,0.0006338,0.0006338,0.0006338
140,5098.13,1.35509,0.47306,0.00236,0.97858,0.97118,0.99255,0.7385,0.95075,0.31655,0.00086,0.0006239,0.0006239,0.0006239
141,5134.51,1.37029,0.47077,0.00219,0.98022,0.96935,0.99245,0.73284,0.99042,0.32264,0.00089,0.000614,0.000614,0.000614
142,5170.44,1.35871,0.47138,0.00231,0.97664,0.97545,0.99258,0.76318,0.88998,0.29995,0.0008,0.0006041,0.0006041,0.0006041
143,5206.73,1.34742,0.46879,0.00228,0.98129,0.97106,0.99255,0.7748,0.85751,0.30274,0.00077,0.0005942,0.0005942,0.0005942
144,5242.98,1.35133,0.44364,0.00207,0.98041,0.96541,0.99204,0.75736,0.914,0.32269,0.00082,0.0005843,0.0005843,0.0005843
145,5280.01,1.34873,0.47131,0.00229,0.97061,0.97228,0.99175,0.77168,0.85491,0.31159,0.00077,0.0005744,0.0005744,0.0005744
146,5316.68,1.37642,0.48263,0.00243,0.97809,0.97057,0.99223,0.72314,1.01631,0.33559,0.00091,0.0005645,0.0005645,0.0005645
147,5353.19,1.34163,0.48151,0.00243,0.97063,0.97167,0.99191,0.74508,0.93985,0.30674,0.00085,0.0005546,0.0005546,0.0005546
148,5389.42,1.3453,0.45198,0.00223,0.98406,0.96703,0.99289,0.74192,0.95718,0.3064,0.00086,0.0005447,0.0005447,0.0005447
149,5426.17,1.34313,0.47589,0.00236,0.98453,0.9641,0.99242,0.75633,0.92653,0.30574,0.00083,0.0005348,0.0005348,0.0005348
150,5462.89,1.36364,0.46306,0.00227,0.97972,0.9677,0.99262,0.76979,0.90124,0.29525,0.00081,0.0005249,0.0005249,0.0005249
151,5499.5,1.36082,0.46122,0.00233,0.96775,0.96764,0.99159,0.75744,0.90285,0.31769,0.00081,0.000515,0.000515,0.000515
152,5535.5,1.33594,0.46576,0.00236,0.98028,0.97109,0.99262,0.77601,0.84918,0.29882,0.00076,0.0005051,0.0005051,0.0005051
153,5572.42,1.33656,0.4568,0.00238,0.9833,0.97497,0.99294,0.74699,0.94639,0.3041,0.00085,0.0004952,0.0004952,0.0004952
154,5608.75,1.36095,0.46033,0.00225,0.98151,0.97216,0.9931,0.76573,0.88679,0.29744,0.0008,0.0004853,0.0004853,0.0004853
155,5646.18,1.36361,0.47248,0.00232,0.97116,0.97643,0.99232,0.75693,0.90649,0.31325,0.00082,0.0004754,0.0004754,0.0004754
156,5683.2,1.34253,0.47395,0.00236,0.97129,0.96681,0.99203,0.77062,0.86761,0.30476,0.00078,0.0004655,0.0004655,0.0004655
157,5719.24,1.35323,0.48237,0.00243,0.96143,0.95876,0.99041,0.74955,0.93098,0.33905,0.00084,0.0004556,0.0004556,0.0004556
158,5755.71,1.34074,0.44069,0.00206,0.97375,0.96312,0.99181,0.74946,0.94389,0.32043,0.00085,0.0004457,0.0004457,0.0004457
159,5792.4,1.33657,0.45934,0.00227,0.96391,0.95883,0.99039,0.76067,0.89221,0.31304,0.0008,0.0004358,0.0004358,0.0004358
160,5829.59,1.34115,0.48409,0.00248,0.97205,0.96031,0.99121,0.76068,0.89276,0.31436,0.0008,0.0004259,0.0004259,0.0004259
161,5866.94,1.36172,0.45007,0.00225,0.97428,0.9674,0.99229,0.75824,0.89121,0.3215,0.00081,0.000416,0.000416,0.000416
162,5902.92,1.32951,0.46526,0.00232,0.95789,0.95846,0.98982,0.76734,0.87093,0.33668,0.00078,0.0004061,0.0004061,0.0004061
163,5939.93,1.33371,0.46682,0.00238,0.95049,0.96508,0.98906,0.76954,0.85,0.34297,0.00077,0.0003962,0.0003962,0.0003962
164,5976.94,1.34301,0.45582,0.00227,0.95519,0.9605,0.99018,0.75191,0.90883,0.34965,0.00082,0.0003863,0.0003863,0.0003863
165,6015.04,1.33661,0.46168,0.00231,0.96429,0.96608,0.99145,0.76765,0.88208,0.32184,0.00079,0.0003764,0.0003764,0.0003764
166,6051.82,1.36364,0.46178,0.00231,0.96136,0.95128,0.98982,0.74574,0.91726,0.34208,0.00083,0.0003665,0.0003665,0.0003665
167,6088.04,1.36423,0.44376,0.00216,0.98129,0.9735,0.99286,0.77286,0.85636,0.30209,0.00077,0.0003566,0.0003566,0.0003566
168,6124.42,1.35377,0.44244,0.00213,0.96913,0.97372,0.99209,0.74751,0.94388,0.30999,0.00085,0.0003467,0.0003467,0.0003467
169,6161.67,1.34121,0.46223,0.00226,0.97486,0.97074,0.99237,0.74545,0.96112,0.31658,0.00087,0.0003368,0.0003368,0.0003368
170,6199.42,1.34174,0.44871,0.00219,0.98147,0.97043,0.99283,0.781,0.84399,0.29464,0.00076,0.0003269,0.0003269,0.0003269
171,6236.17,1.32526,0.46501,0.00245,0.96289,0.97143,0.99159,0.76978,0.85897,0.32871,0.00078,0.000317,0.000317,0.000317
172,6272.35,1.35583,0.45417,0.00225,0.97409,0.97337,0.9928,0.76644,0.8882,0.31348,0.0008,0.0003071,0.0003071,0.0003071
173,6309.53,1.31226,0.45579,0.00234,0.95849,0.94248,0.98504,0.74838,0.92792,0.34446,0.00085,0.0002972,0.0002972,0.0002972
174,6347.55,1.31279,0.46684,0.00249,0.98366,0.97064,0.99321,0.76813,0.88413,0.29286,0.0008,0.0002873,0.0002873,0.0002873
175,6384.86,1.34231,0.45821,0.00233,0.97321,0.97375,0.99267,0.76987,0.8637,0.30792,0.00078,0.0002774,0.0002774,0.0002774
176,6421.39,1.36721,0.45543,0.00229,0.96713,0.97365,0.99232,0.75993,0.89889,0.32043,0.00081,0.0002675,0.0002675,0.0002675
177,6457.76,1.332,0.4431,0.00226,0.97309,0.97594,0.99265,0.77094,0.86766,0.30408,0.00078,0.0002576,0.0002576,0.0002576
178,6494.38,1.30786,0.43089,0.0021,0.96919,0.97198,0.99237,0.76338,0.88947,0.30753,0.0008,0.0002477,0.0002477,0.0002477
